Duration (ms)       Note                Octave              Velocity            
93.89               C                   3                   100                 
95.857              C                   3                   100                 
79.454              C                   3                   100                 
65.105              C                   3                   100                 
63.675              C                   3                   100                 
110.455             D                   3                   100                 
63.605              E                   3                   100                 
79.769              F                   3                   100                 
97.001              G                   3                   100                 
76.786              A                   3                   100                 
139.482             B                   3                   100                 
97.644              C                   4                   100                 
94.405              D                   4                   100                 
76.663              E                   4                   100                 
85.157              F                   4                   100                 
94.669              A                   4                   100                 
98.267              G                   4                   100                 
76.06               B                   4                   100                 
48.114              C                   5                   100                 
62.134              D                   5                   100                 
64.182              E                   5                   100                 
95.3                F                   5                   100                 
80.051              G                   5                   100                 
80.761              A                   5                   100                 
60.822              B                   5                   100                 
129.412             C                   6                   100                 
97.325              D                   6                   100                 
110.06              E                   6                   100                 
92.84               F                   6                   100                 
98.665              G                   6                   100                 
82.4                A                   6                   100                 
80.308              B                   6                   100                 
64.882              C                   7                   100                 
43.768              D                   7                   100                 
80.469              E                   7                   100                 
46.384              G                   7                   100                 
77.392              B                   7                   100                 
61.003              F                   7                   100                 
